CORE_CUSTOMER_ID,STORE,STORE_CITY,STORE_ZIP,NUM_SHOP,MSRNAME,USER_NAME,USER_PREFERRED_STORE,USER_CLOSEST_STORE,USER_POSTAL
114442405,7004,Phoenix,85001,1,harry h Johnson,harry johnson,7004,7004,
114144081,7013,Baton,70802,8,SHEELAH UTLEY,,,,
115912507,7024,Cheyenne,82001,2,lashundra burrows,,,,
117607770,7063,Olympia,98507,,CARMEL J VIGIL,,,,
116012449,7088,Bismarck,58501,15,DONISHA MAYORGA,,,,
115729539,7038,Columbus,43215,2,sirena huff,,,,
110106528,7037,Lansing,48933,,kartik beavers,,,,
117247756,7068,Topeka,66603,9,,,,7068,
111563427,7041,Helena,59623,9,ANAIZ I HYATT,,,,
119178058,7015,Des Moines,50309,13,yolonda miguel,,,,
115490656,7076,Salt Lake City,84111,10,daviel e raney,,,,
113900097,7007,Concord,3301,,carola jax leone,carola leone,7007,,
116997865,7092,Columbia,29217,12,,aletha laporte,,,
119409139,7049,Tallahassee,32301,,CHASE VISA CARDHOLDER,,,,
116496233,7032,Nashville,37219,12,japheth easterling,,,,
116514089,7046,Boston,2201,,arland boudreau,,7046,,
115932006,7067,Lincoln,68502,,roxy blackwood,,,,
111488055,7050,Salem,97301,,laquista     lindberg,,,,
114279877,7001,Albany,12207,,GRACEANN SALDANA,,,,
117921437,7068,Topeka,66603,8,AKIL R MENENDEZ,,,,
118086876,7055,Juneau,99801,,,,,,
115653320,7082,Oklahoma,73102,,CHEA L WILT,chea wilt,7082,,
113343651,7004,Phoenix,85001,8,oran camara,,7004,,
117786504,7032,Nashville,37219,4,genia jeffrey,,7032,,
119644668,7060,Jackson,39205,5,stafford arguello,,,,
113643494,7015,Des Moines,50309,,eliah mosher,eliah mosher,,,
110155469,7012,Trenton,8608,5,deeann e irons,,,,
114029729,7062,Santa,87501,4,lorrin lundberg,,,,
112359217,7074,Austin,78701,1,lakiya   brannon,lakiya brannon,,,
118453047,7040,Augusta,4330,14,landry solorio,landry solorio,,,
111024509,7097,Sacramento,95814,5,janean coombs,janean coombs,,,
112603434,7092,Columbia,29217,10,emely mesa,,,,
